﹟,Glide ﹟,Start Date,End Date,Country,Area (km²),Source,Main Cause,Fatalities,Displaced,Severity,Flood impact index
5453,,8/17/23,8/18/23,Mexico,"161,862",FloodList,Tropical cyclone,1,0,1,5.5
5454,,8/17/23,8/21/23,Chile,"83,719",FloodList,Heavy rain,3,32728,1.5,5.8
5452,,8/3/23,8/4/23,Slovenia,"7,874",FloodList,Heavy rain,3,4000,1.5,4.4
5450,,7/22/23,7/22/23,Afghanistan,"5,080",FloodList,Heavy rain,12,0,1,3.7
5451,,7/22/23,7/22/23,Canada,"23,775",FloodList,Heavy rain,0,0,1,4.4
5449,,7/20/23,7/20/23,Bhutan,61,FloodList,Heavy rain,23,0,1,1.8
5448,,7/19/23,7/20/23,United States of America,"1,782",FloodList,Torrential rain,0,0,1,3.6
5446,,7/15/23,7/16/23,United States of America,676,FloodList,Torrential rain,3,0,1,3.1
5444,,7/10/23,7/12/23,United States of America,"48,826",FloodList,Heavy rain,1,150,1.5,5.3
5439,,7/9/23,7/10/23,United States of America,"40,743",FloodList,Heavy rain,1,0,1,4.9
5441,,7/9/23,7/13/23,Russian Federation,"6,990",FloodList,Torrential rain,0,240,1,4.5
5445,,7/9/23,7/13/23,India,"4,988",FloodList,Heavy rain,0,35000,2,4.7
5447,,7/9/23,7/16/23,Republic of Korea,"33,455",FloodList,Heavy rain,30,9000,2,5.7
5442,,7/8/23,7/10/23,Türkiye,"34,202",FloodList,Heavy rain,1,500,1,5
5440,,7/7/23,7/9/23,Indonesia,"1,053",FloodList,Heavy rain,5,50,1.5,3.7
5443,,7/7/23,7/10/23,Brazil,"7,360",FloodList,Heavy rain,1,3578,1,4.5
5438,,7/6/23,7/6/23,Spain,"1,124",FloodList,Heavy rain,0,0,1,3.1
5437,,6/27/23,6/28/23,South Africa,"2,090",FloodList,Heavy rain,7,151,1,3.6
5435,,6/24/23,6/24/23,Serbia,"1,222",FloodList,Torrential rain,2,0,1,3.1
5436,,6/23/23,6/23/23,Chile,"99,467",FloodList,Heavy rain,2,5000,1.5,5.2
5434,,6/21/23,6/24/23,Ghana,"22,668",FloodList,Heavy rain,8,0,1,5
5431,,6/17/23,6/19/23,Nepal,"14,824",FloodList,Heavy rain,5,80,1.5,4.8
5430,,6/16/23,6/18/23,Brazil,"19,925",FloodList,Torrential rain,11,4000,1.5,5
5433,,6/16/23,6/20/23,India,"184,454",News,Tropical cyclone,12,150000,2,6.3
5432,,6/14/23,6/22/23,India,"119,900",FloodList,Heavy rain,0,2211,1.5,6.2
5428,,6/10/23,6/11/23,Pakistan,"14,688",FloodList,Heavy rain,20,0,1,4.5
5429,,6/8/23,6/10/23,Cuba,"34,826",FloodList,Heavy rain,1,7259,1.5,5.2
5426,,6/4/23,6/5/23,Türkiye,"27,391",FloodList,Heavy rain,2,0,1,4.7
5423,,6/3/23,6/5/23,Haiti,"1,197",FloodList,Heavy rain,42,13390,1.5,3.7
5424,,6/3/23,6/3/23,Algeria,"36,905",FloodList,Heavy rain,6,0,1,4.6
5425,,6/3/23,6/4/23,Ecuador,"16,077",FloodList,Heavy rain,0,0,1,4.5
5421,,6/2/23,6/4/23,Japan,"14,311",FloodList,Heavy rain,4,0,1,4.6
5422,,6/1/23,6/2/23,China,"3,350",FloodList,Heavy rain,2,0,1,3.8
5427,,5/28/23,5/28/23,Iran (Islamic Republic of),"3,727",FloodList,Heavy rain,4,0,1,3.6
5420,,5/23/23,5/23/23,Algeria,"23,884",FloodList,Heavy rain,2,0,1,4.4
5419,,5/17/23,5/18/23,Bosnia and Herzegovina,"4,114",FloodList,Heavy rain,0,10,1,3.9
5418,,5/16/23,5/25/23,Italy,"8,610",FloodList,Heavy rain,15,36000,1.5,5.1
5417,,5/12/23,5/17/23,Croatia,"17,668",FloodList,Heavy rain,0,0,1,5
5414,,5/9/23,5/10/23,United Kingdom of Great Britain and Northern Ireland,"8,539",FloodList,Heavy rain,0,72,1,4.2
5415,,5/9/23,5/10/23,Sierra Leone,460,FloodList,Heavy rain,7,0,1,3
5413,,5/4/23,5/5/23,Democratic Republic of the Congo,130,FloodList,Heavy rain,394,12000,2,2.7
5412,,5/3/23,5/3/23,Italy,830,FloodList,Dam/Levy break or release,2,250,1.5,3.1
5411,,5/2/23,5/3/23,Rwanda,"6,122",FloodList,Heavy rain,127,1480,1.5,4.3
5416,,5/1/23,5/5/23,Ethiopia,"111,179",FloodList,Heavy rain,38,9110,1.5,5.9
5410,,4/29/23,4/30/23,Pakistan,"38,422",FloodList,Heavy rain,2,0,1,4.9
5408,,4/21/23,4/22/23,Brazil,"52,960",FloodList,Heavy rain,0,9261,1,5
5409,,4/21/23,4/30/23,Kenya,861,FloodList,Heavy rain,0,11300,1.5,4.1
5406,,4/15/23,4/16/23,Ukraine,"298,423",FloodList,Heavy rain,0,200,1,5.8
5404,,4/12/23,4/13/23,"Iran (Islamic Republic of),Iraq","184,315",FloodList,Heavy rain,3,400,1,5.6
5403,,4/9/23,4/9/23,Philippines,"2,220",FloodList,Heavy rain,5,350,1,3.3
5399,,4/3/23,4/3/23,Italy,"1,001",FloodList,Heavy rain,1,0,1,3
5405,,4/3/23,4/12/23,United Republic of Tanzania,"1,766",FloodList,Heavy rain,7,1400,1,4.2
5400,,4/2/23,4/2/23,Kenya,"2,221",FloodList,Heavy rain,4,0,1,3.3
5407,,4/1/23,4/21/23,Angola,"404,521",FloodList,Heavy rain,20,755,1.5,7.1
5402,,3/31/23,4/4/23,Burundi,210,FloodList,Heavy rain,14,192,1,3
5398,,3/29/23,3/31/23,Indonesia,"7,198",FloodList,Heavy rain,0,0,1,4.3
5391,,3/25/23,3/25/23,Brazil,420,FloodList,Heavy rain,0,688,1,2.6
5392,,3/24/23,3/25/23,Somalia,"2,003",FloodList,Heavy rain,20,0,1,3.6
5397,,3/24/23,4/2/23,Pakistan,"16,207",FloodList,Heavy rain,11,0,1,5.2
5394,,3/23/23,3/23/23,South Africa,"20,651",FloodList,Heavy rain,3,0,1,4.3
5395,,3/23/23,3/27/23,Kenya,"18,138",FloodList,Heavy rain,12,3500,1,5
5396,,3/23/23,3/28/23,Brazil,"169,703",FloodList,Heavy rain,0,10415,1.5,6.2
5393,,3/20/23,3/27/23,Bolivia (Plurinational State of),530,FloodList,Dam/Levy break or release,2,600,1,3.6
5388,,3/18/23,3/18/23,Cameroon,718,FloodList,Heavy rain,1,0,1,2.9
5390,,3/18/23,3/18/23,Ecuador,"36,146",FloodList,Heavy rain,0,84,1,4.6
5389,,3/16/23,3/21/23,Brazil,"1,760,016",FloodList,Heavy rain,9,1200,1.5,7.2
5386,,3/15/23,3/15/23,Türkiye,"13,381",FloodList,Heavy rain,14,0,1,4.1
5401,,3/15/23,4/3/23,Ethiopia,"136,381",FloodList,Heavy rain,29,12500,2,6.7
5385,,3/12/23,3/16/23,Malawi,"47,329",FloodList,Tropical cyclone,326,180000,2,5.7
5387,,3/10/23,3/13/23,Indonesia,"13,000",FloodList,Heavy rain,4,0,1.5,4.9
5384,,3/8/23,3/12/23,Australia,"9,557",FloodList,Heavy rain,0,25,1,4.7
5380,,3/7/23,3/7/23,Ghana,"4,067",FloodList,Heavy rain,3,0,1,3.6
5381,,3/6/23,3/7/23,Ecuador,337,FloodList,Heavy rain,3,0,1,2.8
5379,,3/5/23,3/5/23,Brazil,466,FloodList,Heavy rain,0,700,1,2.7
5382,,3/5/23,3/7/23,Brazil,"3,729",FloodList,Heavy rain,1,0,1,4
5383,,3/4/23,3/11/23,Peru,"66,607",FloodList,Heavy rain,8,1961,1.5,5.9
5378,,2/28/23,3/2/23,Malaysia,"42,707",FloodList,Heavy rain,0,30000,2,5.4
5377,,2/27/23,3/1/23,Australia,"2,197",FloodList,Heavy rain,0,700,1,3.8
5376,,2/24/23,3/13/23,Mozambique,"179,000",FloodList,Tropical cyclone,17,22000,2,6.8
5374,,2/21/23,3/5/23,Madagascar,"21,820",FloodList,Tropical cyclone,10,32300,2,5.8
5370,,2/18/23,2/20/23,Brazil,"47,667",FloodList,Heavy rain,40,2496,1.5,5.3
5371,,2/18/23,2/18/23,South Africa,"27,424",FloodList,Heavy rain,2,0,1,4.4
5373,,2/18/23,2/21/23,Ecuador,"6,500",FloodList,Heavy rain,6,0,1,4.4
5368,,2/16/23,2/17/23,United States of America,"62,552",FloodList,Heavy rain,2,0,1,5.1
5375,,2/16/23,2/26/23,Paraguay,"131,000",FloodList,Heavy rain,0,0,1,6.2
5369,,2/15/23,2/16/23,Bolivia (Plurinational State of),"81,513",FloodList,Heavy rain,6,2328,1,5.2
5367,,2/13/23,2/14/23,Brazil,366,FloodList,Heavy rain,0,300,1,2.9
5372,,2/13/23,2/21/23,Philippines,"199,417",FloodList,Heavy rain,2,30000,1.5,6.4
5365,,2/12/23,2/13/23,Malawi,593,FloodList,Heavy rain,4,0,1,3.1
5366,,2/11/23,2/18/23,New Zealand,"69,700",FloodList,Tropical cyclone,15,10000,2,6
5363,,2/8/23,2/12/23,Mozambique,"1,816",FloodList,Heavy rain,6,13700,1.5,4.1
5364,,2/8/23,2/13/23,Syrian Arab Republic,158,FloodList,Dam/Levy break or release,0,7000,1.5,3.2
5360,,2/5/23,2/6/23,Peru,"2,003",FloodList,Heavy rain,3,40,1,3.6
5361,,2/5/23,2/7/23,Bolivia (Plurinational State of),"493,000",FloodList,Heavy rain,1,80,1,6.2
5359,,2/3/23,2/4/23,Fiji,235,FloodList,Heavy rain,0,350,1,2.7
5362,,2/2/23,2/12/23,South Africa,"327,000",FloodList,Heavy rain,5,1000,1.5,6.7
5358,,2/1/23,2/2/23,Indonesia,"5,380",FloodList,Heavy rain,2,30,1,4
5357,,1/27/23,1/27/23,New Zealand,705,FloodList,Heavy rain,4,540,1,2.8
5356,,1/26/23,1/27/23,Indonesia,163,FloodList,Heavy rain,5,1021,1,2.5
5355,,1/24/23,1/25/23,Malaysia,"141,000",FloodList,Heavy rain,0,4996,1.5,5.6
5354,,1/21/23,1/24/23,Indonesia,"54,678",FloodList,Heavy rain,3,3000,1.5,5.5
5352,,1/19/23,1/20/23,Madagascar,"11,491",FloodList,Heavy rain,30,214,1.5,4.5
5351,,1/18/23,1/19/23,Serbia,"8,220",FloodList,Heavy rain,0,84,1,4.2
5353,,1/18/23,1/19/23,Brazil,"1,590",FloodList,Heavy rain,3,190,1,3.5
5350,,1/14/23,1/14/23,Colombia,155,FloodList,Heavy rain,2,0,1,2.2
5347,,1/4/23,1/4/23,Democratic Republic of the Congo,"2,748",FloodList,Heavy rain,9,0,1,3.4
5348,,1/3/23,1/6/23,Indonesia,"5,150",FloodList,Heavy rain,2,0,1,4.3
5349,,1/1/23,1/19/23,Philippines,"469,000",FloodList,Heavy rain,38,119121,2,7.3
5345,,12/31/22,12/31/22,United States of America,"29,000",FloodList,Heavy rain,2,300,1,4.5
5342,,12/27/22,12/27/22,Philippines,"172,000",FloodList,Heavy rain,17,45000,2,5.5
5346,,12/25/22,1/2/23,Indonesia,"1,750",FloodList,Heavy rain,1,2694,1,4.2
5341,,12/20/22,12/20/22,Brazil,"9,032",FloodList,Heavy rain,2,190,1,4
5343,,12/20/22,12/26/22,Uganda,"1,179",FloodList,Heavy rain,10,864,1,3.9
5340,,12/16/22,12/19/22,"Thailand,Malaysia","61,733",FloodList,Heavy rain,28,28686,2,5.7
5339,,12/15/22,12/15/22,Namibia,317,FloodList,Heavy rain,2,0,1,2.5
5338,,12/12/22,12/13/22,Democratic Republic of the Congo,"1,013",FloodList,Heavy rain,120,0,1.5,3.5
5336,,12/11/22,12/13/22,Türkiye,194,FloodList,Heavy rain,0,0,1,2.8
5337,,12/10/22,12/10/22,"Bosnia and Herzegovina,Croatia","5,093",FloodList,Heavy rain,1,0,1,3.7
5335,,12/7/22,12/7/22,Brazil,"583,000",FloodList,Heavy rain,1,0,1.5,5.9
5334,,12/4/22,12/4/22,Portugal,"7,152",FloodList,Heavy rain,1,0,1,3.9
5332,,12/3/22,12/3/22,South Africa,"11,559",FloodList,Heavy rain,9,0,1,4.1
5333,,12/2/22,12/2/22,Viet Nam,"29,000",FloodList,Heavy rain,3,0,1,4.5
5331,,11/28/22,12/4/22,Brazil,"571,000",FloodList,Heavy rain,4,20000,2,6.9
5330,,11/25/22,11/28/22,Angola,"3,584",FloodList,Heavy rain,2,980,1,4.2
5329,,11/24/22,11/24/22,Saudi Arabia,"1,148",FloodList,Torrential rain,2,0,1,3.1
5344,,11/18/22,12/23/22,Malawi,"61,400",FloodList,Heavy rain,40,0,1,6.3
5328,,11/17/22,11/23/22,"Rwanda,Democratic Republic of the Congo","60,135",FloodList,Heavy rain,40,0,1.5,5.8
5326,,11/10/22,11/10/22,United States of America,"9,539",FloodList,Tropical cyclone,4,2120,1,4
5327,,11/8/22,11/11/22,Venezuela (Bolivarian Republic of),"22,223",FloodList,Heavy rain,4,1260,1,4.9
5325,,11/4/22,11/4/22,Dominican Republic,944,FloodList,Torrential rain,6,0,1,3
5320,,10/25/22,10/31/22,Venezuela (Bolivarian Republic of),"1,198",FloodList,Heavy rain,3,42,1,3.9
5322,,10/23/22,10/30/22,Colombia,"63,612",FloodList,Heavy rain,0,140,1.5,5.9
5323,,10/23/22,11/1/22,Indonesia,"90,633",FloodList,Heavy rain,11,684,1.5,6.1
5315,,10/17/22,10/17/22,Venezuela (Bolivarian Republic of),"5,989",FloodList,Heavy rain,3,0,1,3.8
5317,,10/16/22,10/17/22,Philippines,"351,509",FloodList,Heavy rain,5,3500,1.5,6
5312,,10/15/22,10/15/22,Greece,"1,800",FloodList,Heavy rain,2,30,1,3.3
5313,,10/15/22,10/15/22,Viet Nam,"19,690",FloodList,Heavy rain,0,14000,1,4.3
5311,,10/14/22,10/15/22,Mexico,"96,468",FloodList,Heavy rain,1,120,1,5.3
5318,,10/14/22,10/17/22,Indonesia,"29,716",FloodList,Heavy rain,4,0,1,5.1
5314,,10/12/22,10/16/22,Sri Lanka,717,FloodList,Heavy rain,3,5000,1,3.6
5308,,10/10/22,10/11/22,Viet Nam,"8,679",FloodList,Heavy rain,1,1000,1,4.2
5307,,10/9/22,10/11/22,"Colombia,Nicaragua, Honduras, Guatemala, Costa Rica, El Salvador, Panama","750,460",FloodList,Tropical cyclone,25,29000,1.5,6.5
5306,,10/8/22,10/8/22,Venezuela (Bolivarian Republic of),114,FloodList,Heavy rain,50,1200,1.5,2.2
5316,,10/8/22,10/17/22,Indonesia,"1,440",FloodList,Heavy rain,5,38,1,4.2
5304,,10/6/22,10/6/22,Indonesia,"4,494",FloodList,Heavy rain,3,18000,1,3.7
5303,,10/5/22,10/5/22,India,"3,839",FloodList,Heavy rain,8,0,1,3.6
5301,,10/4/22,10/4/22,Ghana,55,FloodList,Dam/Levy break or release,0,1500,1,1.7
5302,,10/2/22,10/5/22,Thailand,"289,000",FloodList,Heavy rain,0,13135,1.5,6.2
5319,,10/1/22,10/30/22,Philippines,"244,759",FloodList,Heavy rain,36,40000,2,7.2
5309,,9/30/22,10/11/22,Nigeria,"42,700",FloodList,Heavy rain,200,690254,2,6
5298,,9/28/22,9/28/22,United States of America,"4,248",FloodList,Tropical cyclone,27,10054,1,3.6
5300,,9/28/22,10/4/22,Nigeria,"27,000",FloodList,Heavy rain,300,100000,2,5.6
5299,,9/26/22,9/30/22,"Viet Nam,Thailand","143,000",FloodList,Tropical cyclone,4,327937,2,6.2
5295,,9/25/22,9/25/22,Spain,442,FloodList,Heavy rain,1,0,1,2.6
5296,,9/25/22,9/25/22,Philippines,"7,151",FloodList,Tropical cyclone,5,9103,1.5,4
5294,,9/23/22,9/24/22,Venezuela (Bolivarian Republic of),"11,000",FloodList,Heavy rain,7,0,1,4.3
5297,,9/23/22,9/23/22,Mali,"79,700",FloodList,Heavy rain,0,2200,1,4.9
5293,,9/22/22,9/24/22,Australia,"14,000",FloodList,Heavy rain,1,0,1,4.6
5287,,9/18/22,9/18/22,Japan,"48,000",FloodList,Tropical cyclone,1,3000,1.5,4.9
5288,,9/17/22,9/18/22,United States of America,"31,000",FloodList,Tidal surge,0,420,1,4.8
5291,,9/17/22,9/17/22,Guinea,150,FloodList,Heavy rain,3,0,1,2.2
5292,,9/17/22,9/21/22,Niger,"187,000",FloodList,Heavy rain,121,0,2,6.3
5289,,9/16/22,9/17/22,Spain,820,FloodList,Heavy rain,1,36,1,3.2
5290,,9/16/22,9/20/22,"Puerto Rico,Guadeloupe, Dominican Republic,","38,000",FloodList,Tropical cyclone,3,2146,1.5,5.5
5286,,9/15/22,9/16/22,Italy,"1,700",FloodList,Torrential rain,7,0,1,3.5
5285,,9/11/22,9/11/22,South Africa,260,FloodList,Dam/Levy break or release,3,0,1,2.4
5284,,9/9/22,9/12/22,"Nepal,India","2,050",FloodList,Heavy rain,5,0,1,3.9
5282,,9/4/22,9/6/22,Republic of Korea,500,FloodList,Tropical cyclone,2,3000,1,3.2
5281,,9/3/22,9/4/22,Mexico,"45,600",FloodList,Heavy rain,4,0,1,5
5283,,9/3/22,9/3/22,Colombia,"10,600",FloodList,Heavy rain,3,0,1,4
5278,,9/2/22,9/4/22,Uganda,"7,246",FloodList,Heavy rain,2,0,1,4.3
5279,,9/2/22,9/3/22,Senegal,720,FloodList,Heavy rain,3,0,1,3.2
5280,,9/2/22,9/5/22,Bulgaria,"10,000",FloodList,Heavy rain,0,500,1,4.6
5310,,9/1/22,10/13/22,Cambodia,"135,097",FloodList,Heavy rain,15,5000,2,7.1
5275,,8/29/22,8/29/22,Sierra Leone,500,FloodList,Torrential rain,6,0,1,2.7
5277,,8/28/22,8/31/22,India,"224,000",FloodList,Heavy rain,4,0,1.5,6.1
5274,,8/23/22,8/26/22,Philippines,"19,100",FloodList,Heavy rain,3,4330,1.5,5.1
5305,,8/22/22,10/7/22,Chad,"1,227,395",FloodList,Heavy rain,0,970000,2,8.1
5271,,8/21/22,8/22/22,United States of America,"11,240",FloodList,Heavy rain,1,260,1,4.4
5272,,8/21/22,8/25/22,Indonesia,585,FloodList,Torrential rain,3,2000,1,3.5
5269,,8/19/22,8/21/22,India,"6,300",FloodList,Monsoonal rain,22,135,1,4.3
5273,,8/18/22,8/22/22,Nigeria,"4,550",FloodList,Heavy rain,10,3000,1,4.4
5265,,8/17/22,8/18/22,China,"62,000",FloodList,Heavy rain,16,0,1.5,5.3
5268,,8/15/22,8/27/22,Pakistan,"335,000",FloodList,Monsoonal rain,1000,20000,2,6.9
5276,,8/15/22,8/25/22,Haiti,160,FloodList,Heavy rain,3,0,1,3.2
5321,,8/15/22,11/1/22,Cameroon,"61,738",FloodList,Heavy rain,0,80000,2,7
5263,,8/13/22,8/13/22,Afghanistan,"34,400",FloodList,Heavy rain,31,0,1,4.5
5266,,8/13/22,8/18/22,India,"155,000",FloodList,Heavy rain,0,60000,1.5,6.1
5270,,8/13/22,8/17/22,Yemen,"6,300",FloodList,Heavy rain,91,12000,1.5,4.7
5262,,8/12/22,8/12/22,Mexico,442,FloodList,Heavy rain,3,0,1,2.6
5261,,8/11/22,8/11/22,United States of America,"2,855",FloodList,Heavy rain,2,1,1,3.5
5267,,8/11/22,8/13/22,Cameroon,"21,000",FloodList,Heavy rain,5,100,1,4.8
5264,,8/10/22,8/12/22,"Viet Nam,Thailand, Myanmar, Lao People&#039;s Democratic Republic","240,000",FloodList,Heavy rain,5,0,1.5,6
5259,,8/9/22,8/10/22,Venezuela (Bolivarian Republic of),"132,000",FloodList,Heavy rain,0,212,1,5.4
5258,,8/7/22,8/9/22,Republic of Korea,"42,000",FloodList,Torrential rain,9,936,1.5,5.3
5324,,8/7/22,10/1/22,Ethiopia,"27,278",FloodList,Heavy rain,0,185000,2,6.5
5257,,8/3/22,8/4/22,Japan,"86,000",FloodList,Heavy rain,0,300000,1.5,5.4
5255,,8/2/22,8/3/22,Sri Lanka,"1,031",FloodList,Heavy rain,3,2374,1,3.3
5256,,8/1/22,8/14/22,Nigeria,"19,570",FloodList,Heavy rain,50,0,1.5,5.6
5260,,8/1/22,8/29/22,Sudan,"92,000",FloodList,Torrential rain,89,0,1.5,6.6
5254,,7/30/22,7/31/22,Uganda,"1,559",FloodList,Heavy rain,10,0,1,3.5
5253,,7/27/22,7/29/22,United States of America,"68,000",FloodList,Heavy rain,15,0,1,5.3
5250,,7/22/22,7/29/22,Iran (Islamic Republic of),536,FloodList,Heavy rain,22,2600,1.5,3.8
5251,,7/22/22,7/25/22,Yemen,233,FloodList,Heavy rain,14,0,1,3
5252,,7/21/22,7/23/22,Central African Republic,"3,158",Humanitarian Coalition,Heavy rain,10,20034,1.5,4.2
5249,,7/17/22,7/17/22,Nigeria,"58,000",FloodList,Heavy rain,4,400,1,4.8
5248,,7/14/22,7/17/22,Niger,"138,000",FloodList,Heavy rain,8,0,1.5,5.9
5245,,7/12/22,7/13/22,United States of America,65,FloodList,Heavy rain,0,400,1,2.1
5246,,7/12/22,7/16/22,China,"120,000",FloodList,Heavy rain,15,70000,2,6.1
5242,,7/11/22,7/11/22,India,"80,000",FloodList,Heavy rain,7,1500,1.5,5.1
5247,,7/10/22,7/18/22,Sudan,"532,000",FloodList,Heavy rain,13,16000,2,7
5241,,7/8/22,7/9/22,India,215,FloodList,Torrential rain,16,0,1,2.6
5244,,7/7/22,7/11/22,Afghanistan,"37,000",FloodList,Heavy rain,39,0,1,5.3
5240,,7/5/22,7/7/22,Afghanistan,"44,000",FloodList,Heavy rain,10,0,1,5.1
5243,,7/5/22,7/10/22,Indonesia,"6,891",FloodList,Heavy rain,7,6,1,4.6
5238,,7/4/22,7/5/22,Malaysia,440,FloodList,Heavy rain,3,1424,1,2.9
5239,,7/4/22,7/5/22,Pakistan,"9,200",FloodList,Monsoonal rain,6,0,1,4.3
5237,,7/2/22,7/3/22,Brazil,"132,000",FloodList,Torrential rain,0,43000,1,5.4
5235,,6/24/22,6/27/22,Türkiye,"46,000",FloodList,Heavy rain,0,235,1,5.3
5236,,6/21/22,6/22/22,Afghanistan,"17,000",FloodList,Heavy rain,19,0,1.5,4.7
5234,,6/20/22,6/21/22,Côte d’Ivoire,600,FloodList,Heavy rain,6,0,1,3.1
5233,,6/14/22,6/21/22,India,"124,500",FloodList,Heavy rain,45,200000,2,6.3
5230,,6/13/22,6/13/22,United States of America,"19,000",FloodList,Heavy rain,0,10,1,4.3
5231,,6/10/22,6/17/22,Nepal,150,FloodList,Heavy rain,7,0,1,3.1
