state_name,district,latitude,longitude,elevation_m,status,terrain_class,terrain_data_source,slope_percent,terrain_cluster
Uttar Pradesh,Kasganj,27.788846,78.822967,176.0,success,non_hilly,SRTM30m,0.3712952403319194,0.0
Uttar Pradesh,Amethi,26.346261,81.625244,110.0,success,non_hilly,SRTM30m,0.13499267293722866,0.0
Uttar Pradesh,Sambhal,28.42723,78.556456,192.0,success,non_hilly,SRTM30m,0.31313751184594557,0.0
Uttar Pradesh,Shamli,29.477224,77.287074,244.0,success,non_hilly,SRTM30m,0.13720651081671012,0.0
Uttar Pradesh,Hapur,28.716716,77.890408,212.0,success,non_hilly,SRTM30m,0.051362298477783105,0.0
West Bengal,24 Paraganas North,22.687777,88.660602,12.0,success,non_hilly,SRTM30m,0.06642842817981956,0.0
West Bengal,24 Paraganas South,22.091132,88.631053,0.0,success,non_hilly,SRTM30m,0.24306974050019695,0.0
West Bengal,Bankura,23.133384,87.208101,75.0,success,non_hilly,SRTM30m,0.2609621993716117,0.0
West Bengal,Purba Bardhaman,23.389576,87.906445,30.0,success,non_hilly,SRTM30m,0.13323212157701608,0.0
West Bengal,Birbhum,24.063678,87.697955,49.0,success,non_hilly,SRTM30m,0.14385822408068658,0.0
West Bengal,Coochbehar,26.252012,89.419444,41.0,success,non_hilly,SRTM30m,0.1004508734833813,0.0
West Bengal,Darjeeling,26.839211,88.308289,492.0,success,non_hilly,SRTM30m,19.038402394726923,2.0
West Bengal,Dinajpur Dakshin,25.386878,88.505436,28.0,success,non_hilly,SRTM30m,0.09009009009009009,0.0
Andaman & Nicobar Island,South Andamans,10.704663,92.488856,113.0,success,non_hilly,SRTM30m,3.851060017109643,0.0
Andaman & Nicobar Island,Nicobars,7.000402,93.810291,121.0,success,non_hilly,SRTM30m,4.871203355631617,0.0
Andaman & Nicobar Island,North And Middle Andaman,12.611585,92.831538,99.0,success,non_hilly,SRTM30m,3.52742881521985,0.0
Andhra Pradesh,Anantapur,14.459022,77.501397,428.0,success,non_hilly,SRTM30m,0.5786932816148782,0.0
Andhra Pradesh,Chittoor,13.309409,78.975506,417.0,success,non_hilly,SRTM30m,1.865064147046025,0.0
Andhra Pradesh,Y.S.R.,14.476819,78.665296,157.0,success,non_hilly,SRTM30m,0.2791330629298629,0.0
Andhra Pradesh,East Godavari,17.161476,82.044391,30.0,success,non_hilly,SRTM30m,0.5537123966726928,0.0
Andhra Pradesh,Guntur,16.266894,80.181816,45.0,success,non_hilly,SRTM30m,0.47193427397011933,0.0
Andhra Pradesh,Krishna,16.431761,81.036913,5.0,success,non_hilly,SRTM30m,0.09392629198286989,0.0
Andhra Pradesh,Kurnool,15.524792,77.9034,356.0,success,non_hilly,SRTM30m,0.40599227218995987,0.0
Andhra Pradesh,Spsr Nellore,14.293407,79.77947,27.0,success,non_hilly,SRTM30m,0.4229933274000241,0.0
Andhra Pradesh,Prakasam,15.634589,79.51104,133.0,success,non_hilly,SRTM30m,0.6229193334341431,0.0
Andhra Pradesh,Srikakulam,18.622074,83.973235,37.0,success,non_hilly,SRTM30m,0.6325410313318286,0.0
Andhra Pradesh,Visakhapatanam,17.899462,82.564071,1199.0,success,non_hilly,SRTM30m,16.9150266479027,2.0
Andhra Pradesh,Vizianagaram,18.5012,83.319456,126.0,success,non_hilly,SRTM30m,0.6891590682029807,0.0
Andhra Pradesh,West Godavari,16.979197,81.340664,123.0,success,non_hilly,SRTM30m,0.9462584951936195,0.0
Arunanchal Pradesh,Changlang,27.269464,96.059419,556.0,success,non_hilly,SRTM30m,8.700928166746701,0.0
Arunanchal Pradesh,Dibang Valley,28.878366,95.92481,2835.0,success,hilly,SRTM30m,41.195111505472035,1.0
Arunanchal Pradesh,East Kameng,27.55575,92.973731,474.0,success,non_hilly,SRTM30m,7.137458169794039,0.0
Arunanchal Pradesh,Lohit,27.964058,96.273539,733.0,success,non_hilly,SRTM30m,22.01043944175744,2.0
Arunanchal Pradesh,Lower Dibang Valley,28.228521,95.887507,1640.0,success,non_hilly,SRTM30m,42.2483085711298,2.0
Arunanchal Pradesh,Lower Subansiri,27.542303,93.789731,1753.0,success,non_hilly,SRTM30m,5.343168714592511,2.0
Arunanchal Pradesh,East Siang,28.069064,95.392603,144.0,success,non_hilly,SRTM30m,0.40860688501757403,0.0
Arunanchal Pradesh,Kurung Kumey,27.982685,93.161421,2096.0,success,non_hilly,SRTM30m,24.959208285146858,2.0
Arunanchal Pradesh,Papum Pare,27.284704,93.616501,1313.0,success,non_hilly,SRTM30m,13.723380240081632,2.0
Arunanchal Pradesh,Tawang,27.661099,91.907038,3965.0,success,hilly,SRTM30m,25.56963583817218,1.0
Arunanchal Pradesh,Tirap,27.035919,95.507777,673.0,success,non_hilly,SRTM30m,15.741168850070252,2.0
Arunanchal Pradesh,Upper Siang,28.74735,95.025005,2119.0,success,hilly,SRTM30m,44.915712148658926,1.0
Arunanchal Pradesh,Upper Subansiri,28.232839,94.103972,618.0,success,non_hilly,SRTM30m,23.460038075150834,2.0
Arunanchal Pradesh,West Kameng,27.317855,92.445382,1680.0,success,non_hilly,SRTM30m,38.15195535022716,2.0
Arunanchal Pradesh,West Siang,28.196509,94.483026,2256.0,success,hilly,SRTM30m,31.179179387247995,1.0
Arunanchal Pradesh,Anjaw,28.035419,96.853275,3333.0,success,hilly,SRTM30m,31.1760759955043,1.0
Arunanchal Pradesh,Longding,26.879063,95.287775,613.0,success,non_hilly,SRTM30m,32.38690130061425,2.0
Arunanchal Pradesh,Kra Daadi,27.942655,93.771025,1374.0,success,non_hilly,SRTM30m,35.37992684854363,2.0
Arunanchal Pradesh,Namsai,27.710383,96.01294,207.0,success,non_hilly,SRTM30m,0.5429299294681124,0.0
Arunanchal Pradesh,Siang,28.476869,94.81827,1044.0,success,non_hilly,SRTM30m,24.46994579464669,2.0
Bihar,Araria,26.264828,87.371782,55.0,success,non_hilly,SRTM30m,0.15728133281663298,0.0
Bihar,Aurangabad,24.802722,84.410966,103.0,success,non_hilly,SRTM30m,0.1089888010977216,0.0
Arunanchal Pradesh,Kamle,27.737138,94.110428,978.0,success,non_hilly,SRTM30m,48.00547749500655,2.0
Arunanchal Pradesh,Lower Siang,27.803531,94.56848,729.0,success,non_hilly,SRTM30m,2.7046210388300884,0.0
Bihar,Banka,24.833282,86.816,115.0,success,non_hilly,SRTM30m,0.3270332851525391,0.0
Bihar,Begusarai,25.513015,86.08868,41.0,success,non_hilly,SRTM30m,0.0998242005964693,0.0
Bihar,Bhagalpur,25.283884,87.132333,33.0,success,non_hilly,SRTM30m,0.40183096819085595,0.0
Bihar,Bhojpur,25.46112,84.566145,63.0,success,non_hilly,SRTM30m,0.1563031129152312,0.0
Bihar,Buxar,25.504203,84.109275,67.0,success,non_hilly,SRTM30m,0.15635448615559774,0.0
Bihar,Darbhanga,26.082602,86.032877,44.0,success,non_hilly,SRTM30m,0.10310916422463043,0.0
Bihar,Gaya,24.679524,85.011406,120.0,success,non_hilly,SRTM30m,0.09009009009009009,0.0
Bihar,Gopalganj,26.42129,84.373947,66.0,success,non_hilly,SRTM30m,0.13513513513513514,0.0
Arunanchal Pradesh,Pakke Kessang,27.156486,93.151057,1436.0,success,non_hilly,SRTM30m,17.779441315981547,2.0
Bihar,Jamui,24.755728,86.300689,122.0,success,non_hilly,SRTM30m,0.7721653028927876,0.0
Bihar,Jehanabad,25.15318,85.006554,72.0,success,non_hilly,SRTM30m,0.24623605552480493,0.0
Arunanchal Pradesh,Leparada,27.917339,94.707408,675.0,success,non_hilly,SRTM30m,5.468788361575857,0.0
Bihar,Kaimur (Bhabua),24.975338,83.576387,98.0,success,non_hilly,SRTM30m,0.9918202525252001,0.0
Bihar,Katihar,25.547833,87.647614,35.0,success,non_hilly,SRTM30m,0.13448747756381274,0.0
Arunanchal Pradesh,Shi Yomi,28.68507,94.238426,2722.0,success,hilly,SRTM30m,31.12293238406699,1.0
Assam,Barpeta,26.376306,91.049468,40.0,success,non_hilly,SRTM30m,0.18706392016211146,0.0
Assam,Bongaigaon,26.339917,90.628451,39.0,success,non_hilly,SRTM30m,0.1349885682669035,0.0
Assam,Cachar,24.75841,92.881356,26.0,success,non_hilly,SRTM30m,0.4531735057178055,0.0
Assam,Darrang,26.438395,92.005064,55.0,success,non_hilly,SRTM30m,0.16847683786193943,0.0
Assam,Dhemaji,27.577704,94.695287,110.0,success,non_hilly,SRTM30m,0.18720966161669708,0.0
Assam,Dhubri,26.132295,90.129865,28.0,success,non_hilly,SRTM30m,0.21998830783387796,0.0
Assam,Dibrugarh,27.398014,94.996351,105.0,success,non_hilly,SRTM30m,0.2874285047869868,0.0
Assam,Goalpara,26.061127,90.581017,49.0,success,non_hilly,SRTM30m,9.85976821925583,0.0
Assam,Golaghat,26.318346,93.998703,105.0,success,non_hilly,SRTM30m,0.2710271793084717,0.0
Assam,Hailakandi,24.507957,92.630415,51.0,success,non_hilly,SRTM30m,1.6847863719078173,0.0
Assam,Jorhat,26.650268,94.269665,110.0,success,non_hilly,SRTM30m,0.10322948500771291,0.0
Assam,Kamrup,26.124433,91.29921,45.0,success,non_hilly,SRTM30m,0.20227502351818824,0.0
Assam,Karbi Anglong,26.071343,93.451405,857.0,success,non_hilly,SRTM30m,14.801732052566358,2.0
Assam,Karimganj,24.582981,92.371324,60.0,success,non_hilly,SRTM30m,1.0077934603337995,0.0
Assam,Kokrajhar,26.49328,90.121263,50.0,success,non_hilly,SRTM30m,0.187077650414555,0.0
Assam,Lakhimpur,27.171225,94.188407,88.0,success,non_hilly,SRTM30m,0.18018018018018017,0.0
Assam,Marigaon,26.289928,92.291859,55.0,success,non_hilly,SRTM30m,0.04504504504504504,0.0
Assam,Nagaon,26.331023,92.758212,62.0,success,non_hilly,SRTM30m,0.05025966655934766,0.0
Assam,Nalbari,26.355102,91.399785,44.0,success,non_hilly,SRTM30m,0.10316641874540142,0.0
Assam,Dima Hasao,25.398471,93.076869,271.0,success,non_hilly,SRTM30m,2.72783097758139,0.0
Assam,Sivasagar,26.993864,94.621813,94.0,success,non_hilly,SRTM30m,0.3787922939870037,0.0
Assam,Sonitpur,26.763877,92.703411,79.0,success,non_hilly,SRTM30m,0.4419910745908118,0.0
Assam,Tinsukia,27.597178,95.566896,129.0,success,non_hilly,SRTM30m,0.3542175718683003,0.0
Assam,Chirang,26.645248,90.629425,93.0,success,non_hilly,SRTM30m,0.7051068578869734,0.0
Assam,Baksa,26.633,91.455052,75.0,success,non_hilly,SRTM30m,0.3193165863628372,0.0
Assam,Udalguri,26.70767,92.038879,92.0,success,non_hilly,SRTM30m,0.20666792722914903,0.0
Assam,Kamrup Metro,26.126069,91.862585,185.0,success,non_hilly,SRTM30m,3.9518116912811543,0.0
Assam,Biswanath,26.793083,93.361125,77.0,success,non_hilly,SRTM30m,0.09009009009009009,0.0
Assam,Majuli,26.970921,94.278549,87.0,success,non_hilly,SRTM30m,0.13540409557852956,0.0
Assam,South Salmara Mancachar,25.760507,89.893939,26.0,success,non_hilly,SRTM30m,0.04504504504504504,0.0
Assam,Charaideo,27.070207,95.06496,108.0,success,non_hilly,SRTM30m,0.1442932254045285,0.0
Assam,Hojai,25.963203,92.9793,79.0,success,non_hilly,SRTM30m,0.35047217423696153,0.0
Assam,West Karbi Anglong,25.852531,92.587243,408.0,success,non_hilly,SRTM30m,1.8542076898749587,0.0
Bihar,Khagaria,25.492787,86.698328,35.0,success,non_hilly,SRTM30m,0.04504504504504504,0.0
Bihar,Kishanganj,26.304286,87.948677,58.0,success,non_hilly,SRTM30m,0.10049613481951591,0.0
Bihar,Lakhisarai,25.156322,86.175638,45.0,success,non_hilly,SRTM30m,0.3356653566429886,0.0
Bihar,Madhepura,25.780047,86.93618,46.0,success,non_hilly,SRTM30m,0.13463205741546486,0.0
Bihar,Madhubani,26.350265,86.22968,54.0,success,non_hilly,SRTM30m,0.13499526434562648,0.0
Bihar,Munger,25.220764,86.516423,324.0,success,non_hilly,SRTM30m,5.187219177246253,0.0
Bihar,Muzaffarpur,26.148751,85.340321,53.0,success,non_hilly,SRTM30m,0.10312297790448506,0.0
Bihar,Nalanda,25.209913,85.447539,54.0,success,non_hilly,SRTM30m,0.09957419644383578,0.0
Bihar,Nawada,24.817142,85.51796,99.0,success,non_hilly,SRTM30m,0.23373368529631755,0.0
Bihar,Pashchim Champaran,27.052278,84.334708,84.0,success,non_hilly,SRTM30m,0.1354587491263753,0.0
Bihar,Patna,25.467363,85.19618,50.0,success,non_hilly,SRTM30m,0.04504504504504504,0.0
Bihar,Purbi Champaran,26.638942,84.899306,64.0,success,non_hilly,SRTM30m,0.2712614752552588,0.0
Bihar,Purnia,25.774872,87.409736,38.0,success,non_hilly,SRTM30m,0.0,0.0
Bihar,Rohtas,24.939508,84.020582,110.0,success,non_hilly,SRTM30m,0.3014481853658595,0.0
Bihar,Saharsa,25.832113,86.617877,42.0,success,non_hilly,SRTM30m,0.06733236854665929,0.0
Bihar,Samastipur,25.77449,85.866873,43.0,success,non_hilly,SRTM30m,0.20194286282467871,0.0
Bihar,Saran,25.910005,84.781223,55.0,success,non_hilly,SRTM30m,0.16820550014378377,0.0
Bihar,Sheikhpura,25.125545,85.815257,48.0,success,non_hilly,SRTM30m,0.24055507482345778,0.0
Bihar,Sheohar,26.493754,85.271935,64.0,success,non_hilly,SRTM30m,0.11028027687231831,0.0
Bihar,Sitamarhi,26.571264,85.599721,59.0,success,non_hilly,SRTM30m,0.050364622305380836,0.0
Bihar,Siwan,26.131378,84.390116,65.0,success,non_hilly,SRTM30m,0.10999343512479023,0.0
Bihar,Supaul,26.27655,86.79018,59.0,success,non_hilly,SRTM30m,0.13513513513513514,0.0
Bihar,Vaishali,25.754303,85.397609,50.0,success,non_hilly,SRTM30m,0.27485873712182185,0.0
Bihar,Arwal,25.181214,84.65995,76.0,success,non_hilly,SRTM30m,0.10926758321840008,0.0
Chhattisgarh,Bastar,19.124376,81.830075,578.0,success,non_hilly,SRTM30m,0.9882524295473819,0.0
Chhattisgarh,Bilaspur,22.169534,82.136391,283.0,success,non_hilly,SRTM30m,0.24734136062147058,0.0
Chhattisgarh,Dantewada,18.785351,81.480871,497.0,success,non_hilly,SRTM30m,0.7789553982740385,0.0
Chhattisgarh,Dhamtari,20.535082,81.715765,443.0,success,non_hilly,SRTM30m,1.3522071706091587,0.0
Chhattisgarh,Durg,21.19674,81.400492,307.0,success,non_hilly,SRTM30m,0.18654520883103223,0.0
Chhattisgarh,Janjgir-Champa,21.972449,82.661891,244.0,success,non_hilly,SRTM30m,0.9756326711372674,0.0
Chhattisgarh,Jashpur,22.770256,83.970968,509.0,success,non_hilly,SRTM30m,1.1089553392158213,0.0
Chhattisgarh,Kanker,20.132414,80.985946,351.0,success,non_hilly,SRTM30m,0.5730430279069164,0.0
Chhattisgarh,Kabirdham,22.114981,81.24718,367.0,success,non_hilly,SRTM30m,0.5562890694318849,0.0
Chhattisgarh,Korba,22.519838,82.6352,290.0,success,non_hilly,SRTM30m,0.4169712462054185,0.0
Chhattisgarh,Korea,23.43175,82.317689,808.0,success,non_hilly,SRTM30m,4.168931178973201,0.0
Chhattisgarh,Mahasamund,21.191387,82.488668,304.0,success,non_hilly,SRTM30m,0.5999034606550157,0.0
Chhattisgarh,Raigarh,22.066965,83.310042,283.0,success,non_hilly,SRTM30m,1.4936213178235624,0.0
Chhattisgarh,Raipur,21.283023,81.817586,283.0,success,non_hilly,SRTM30m,0.6074421323552235,0.0
Chhattisgarh,Rajnandgaon,20.976771,80.691611,362.0,success,non_hilly,SRTM30m,0.1981568139579921,0.0
Chhattisgarh,Surguja,22.94631,83.165859,590.0,success,non_hilly,SRTM30m,0.6236554960524496,0.0
Chhattisgarh,Bijapur,18.770597,80.740603,205.0,success,non_hilly,SRTM30m,1.5365268491774162,0.0
Chhattisgarh,Narayanpur,19.524878,81.168094,619.0,success,non_hilly,SRTM30m,2.543501721558138,0.0
Chhattisgarh,Sukma,18.26662,81.292194,360.0,success,non_hilly,SRTM30m,13.892107564682716,2.0
Chhattisgarh,Kondagaon,19.709025,81.742211,593.0,success,non_hilly,SRTM30m,0.9321257823538577,0.0
Chhattisgarh,Baloda Bazar,21.573178,82.438886,275.0,success,non_hilly,SRTM30m,3.006051980427113,0.0
Chhattisgarh,Gariyaband,20.429566,82.253018,426.0,success,non_hilly,SRTM30m,1.5773091891515232,0.0
Chhattisgarh,Balod,20.727911,81.144049,338.0,success,non_hilly,SRTM30m,1.040504292159703,0.0
Chhattisgarh,Mungeli,22.243972,81.654072,315.0,success,non_hilly,SRTM30m,0.15279130929322207,0.0
Chhattisgarh,Surajpur,23.358201,82.975669,552.0,success,non_hilly,SRTM30m,0.9274276752442884,0.0
Chhattisgarh,Balrampur,23.628494,83.480986,747.0,success,non_hilly,SRTM30m,17.26233799378396,2.0
Chhattisgarh,Bemetara,21.678209,81.441411,268.0,success,non_hilly,SRTM30m,0.1865866276299017,0.0
Chhattisgarh,Gaurella Pendra Marwahi,22.831123,81.958756,579.0,success,non_hilly,SRTM30m,0.880827989131777,0.0
Chandigarh,Chandigarh,30.730988,76.784176,346.0,success,non_hilly,SRTM30m,0.8087027156741526,0.0
Dadra & Nagar Havelli and Daman & Diu,Daman,20.418435,72.843079,11.0,success,non_hilly,SRTM30m,0.7346470812840386,0.0
Delhi,New Delhi,28.564714,77.121865,236.0,success,non_hilly,SRTM30m,0.7180310873916178,0.0
Delhi,North,28.783929,77.099297,212.0,success,non_hilly,SRTM30m,0.4148774835717687,0.0
Delhi,North East,28.726534,77.261513,212.0,success,non_hilly,SRTM30m,0.13513513513513514,0.0
Delhi,North West,28.737232,77.012092,214.0,success,non_hilly,SRTM30m,0.22522522522522523,0.0
Delhi,South,28.493457,77.197901,265.0,success,non_hilly,SRTM30m,1.1173478407263735,0.0
Delhi,South West,28.585501,76.978557,214.0,success,non_hilly,SRTM30m,0.4181859763698605,0.0
Delhi,West,28.649047,77.090072,220.0,success,non_hilly,SRTM30m,0.23701688949701555,0.0
Delhi,South East,28.54477,77.274132,233.0,success,non_hilly,SRTM30m,0.9500895269820355,0.0
Delhi,Shahdara,28.676982,77.295972,211.0,success,non_hilly,SRTM30m,0.14455998148980997,0.0
Dadra & Nagar Havelli and Daman & Diu,Diu,20.721669,70.932773,11.0,success,non_hilly,SRTM30m,0.8199673358219606,0.0
Delhi,Central,28.700658,77.2211,216.0,success,non_hilly,SRTM30m,0.5984279195870018,0.0
Dadra & Nagar Havelli and Daman & Diu,Dadra And Nagar Haveli,20.20403,73.00653,47.0,success,non_hilly,SRTM30m,0.9197219580414692,0.0
Goa,North Goa,15.53455,74.019597,17.0,success,non_hilly,SRTM30m,3.5168733406820967,0.0
Goa,South Goa,15.196196,74.12255,45.0,success,non_hilly,SRTM30m,5.185992526924916,0.0
Gujarat,Ahmadabad,22.695622,72.314232,15.0,success,non_hilly,SRTM30m,0.14368527305173906,0.0
Gujarat,Amreli,21.418126,71.280395,109.0,success,non_hilly,SRTM30m,0.3699783361076525,0.0
Delhi,East,28.614514,77.298329,205.0,success,non_hilly,SRTM30m,0.21013372707574693,0.0
Gujarat,Anand,22.432362,72.719501,26.0,success,non_hilly,SRTM30m,0.06636206268629492,0.0
Gujarat,Banas Kantha,24.269663,72.162832,123.0,success,non_hilly,SRTM30m,1.335763311851058,0.0
Gujarat,Bharuch,21.812184,72.947441,15.0,success,non_hilly,SRTM30m,0.0,0.0
Gujarat,Bhavnagar,21.55773,71.904753,76.0,success,non_hilly,SRTM30m,0.3649708527865459,0.0
Gujarat,Dang,20.788026,73.709403,517.0,success,non_hilly,SRTM30m,1.5773126436980545,0.0
Gujarat,Dohad,22.919382,74.134398,314.0,success,non_hilly,SRTM30m,1.0843849650159225,0.0
Gujarat,Gandhinagar,23.281988,72.653628,81.0,success,non_hilly,SRTM30m,0.06658678777913189,0.0
Gujarat,Jamnagar,22.332524,70.098167,44.0,success,non_hilly,SRTM30m,0.33001453552550053,0.0
Gujarat,Junagadh,21.340327,70.419692,72.0,success,non_hilly,SRTM30m,0.4491925642197998,0.0
Gujarat,Kachchh,23.70826,69.80596,6.0,success,non_hilly,SRTM30m,0.10821485158875167,0.0
Gujarat,Kheda,22.852854,72.99483,55.0,success,non_hilly,SRTM30m,0.35383526352996414,0.0
Gujarat,Mahesana,23.570552,72.441694,96.0,success,non_hilly,SRTM30m,0.2982926440408439,0.0
Gujarat,Narmada,21.739088,73.626406,351.0,success,non_hilly,SRTM30m,2.5887416986375533,0.0
Gujarat,Navsari,20.829626,73.032462,20.0,success,non_hilly,SRTM30m,0.21279171669421038,0.0
Gujarat,Panch Mahals,22.697806,73.597957,125.0,success,non_hilly,SRTM30m,0.5066205685863305,0.0
Gujarat,Patan,23.773757,71.679603,31.0,success,non_hilly,SRTM30m,0.09844357836736187,0.0
Gujarat,Porbandar,21.603179,69.853064,10.0,success,non_hilly,SRTM30m,0.18018018018018017,0.0
Gujarat,Rajkot,22.069868,71.028451,193.0,success,non_hilly,SRTM30m,0.4466398830026302,0.0
Gujarat,Sabar Kantha,23.868835,73.013862,220.0,success,non_hilly,SRTM30m,0.5244984382026063,0.0
Gujarat,Surat,21.191725,72.952797,18.0,success,non_hilly,SRTM30m,0.3297877874366237,0.0
Gujarat,Surendranagar,22.825462,71.62139,73.0,success,non_hilly,SRTM30m,0.2152488573859628,0.0
Gujarat,Vadodara,22.317956,73.304845,44.0,success,non_hilly,SRTM30m,0.3438115788444954,0.0
Gujarat,Valsad,20.43527,73.14595,89.0,success,non_hilly,SRTM30m,1.249947520571652,0.0
Gujarat,Tapi,21.188671,73.555485,103.0,success,non_hilly,SRTM30m,1.3210630249887267,0.0
Gujarat,Chhotaudepur,22.222774,73.777916,95.0,success,non_hilly,SRTM30m,0.39956443509868694,0.0
Gujarat,Mahisagar,23.191634,73.657304,101.0,success,non_hilly,SRTM30m,0.30414165508970503,0.0
Gujarat,Arvalli,23.484486,73.39868,167.0,success,non_hilly,SRTM30m,0.4443079802442633,0.0
Gujarat,Morbi,22.802514,70.884662,61.0,success,non_hilly,SRTM30m,1.0611387369333405,0.0
Gujarat,Devbhumi Dwarka,22.14747,69.425681,36.0,success,non_hilly,SRTM30m,0.3977353709926526,0.0
Gujarat,Gir Somnath,20.995172,70.682064,104.0,success,non_hilly,SRTM30m,0.7461129939695113,0.0
Gujarat,Botad,22.046786,71.675633,67.0,success,non_hilly,SRTM30m,0.4344834255993772,0.0
Himachal Pradesh,Bilaspur,31.402383,76.640379,623.0,success,non_hilly,SRTM30m,1.6250530787173443,0.0
Himachal Pradesh,Chamba,32.693095,76.165078,2300.0,success,non_hilly,SRTM30m,20.569755360834225,2.0
Himachal Pradesh,Hamirpur,31.653989,76.540373,755.0,success,non_hilly,SRTM30m,3.4971944321799833,0.0
Himachal Pradesh,Kangra,32.075971,76.300054,809.0,success,non_hilly,SRTM30m,1.7636343600502573,0.0
Himachal Pradesh,Kinnaur,31.591916,78.332833,2803.0,success,hilly,SRTM30m,58.37668011471202,1.0
Himachal Pradesh,Kullu,31.877796,77.450549,3692.0,success,hilly,SRTM30m,35.382426095215735,1.0
Himachal Pradesh,Lahul And Spiti,32.501624,77.578993,4489.0,success,hilly,SRTM30m,13.685591436509576,1.0
Himachal Pradesh,Mandi,31.651535,77.009086,1496.0,success,non_hilly,SRTM30m,9.20293403238055,2.0
Himachal Pradesh,Shimla,31.239696,77.712694,1923.0,success,non_hilly,SRTM30m,21.296076478152422,2.0
Himachal Pradesh,Sirmaur,30.699347,77.44934,1531.0,success,non_hilly,SRTM30m,8.872649167961457,2.0
Himachal Pradesh,Solan,31.056641,76.849896,928.0,success,non_hilly,SRTM30m,13.731085298781462,2.0
Himachal Pradesh,Una,31.583109,76.235688,480.0,success,non_hilly,SRTM30m,3.211866080458959,0.0
Haryana,Ambala,30.343491,76.950246,281.0,success,non_hilly,SRTM30m,0.2486982471113773,0.0
Haryana,Bhiwani,28.732235,75.893368,221.0,success,non_hilly,SRTM30m,0.1445696156441797,0.0
Haryana,Faridabad,28.356718,77.326396,202.0,success,non_hilly,SRTM30m,0.7363586333080571,0.0
